customer_id,payment_creditcard,payment_debit,payment_crypto,payment_paypal,payment_cash,cat_electronics,cat_home,cat_clothing,cat_books
13989,1,0,1,0,1,3,1,0,1
32157,1,0,0,0,0,0,1,0,2
28452,1,0,0,0,0,1,0,0,2
31766,1,0,0,0,2,1,0,3,1
4650,2,0,0,0,1,0,1,1,1
743,3,0,0,0,1,1,0,4,1
35826,3,0,1,0,1,4,1,0,1
3232,4,0,0,0,1,2,2,0,1
27467,3,0,0,0,1,0,1,3,1
29411,5,0,0,0,0,2,1,4,1
12280,1,0,0,0,2,0,0,1,2
41169,2,0,0,0,2,0,1,1,3
45598,4,0,0,0,1,0,1,2,2
31443,3,0,0,0,1,1,2,2,0
37085,1,0,2,0,3,0,0,2,6
41301,3,0,0,0,1,0,0,3,2
48465,2,0,1,0,0,1,0,3,3
7308,3,0,0,0,3,1,0,2,6
236,5,0,0,0,1,2,1,2,2
20403,1,0,1,0,2,0,1,2,2
46188,4,0,0,0,1,2,0,2,3
9037,1,0,1,0,2,1,1,1,1
12590,2,0,0,0,2,0,0,5,0
40952,2,0,1,0,3,2,1,0,5
47649,0,0,1,0,1,0,0,1,3
17994,2,0,0,0,3,2,3,1,2
36139,2,0,1,0,0,0,2,1,1
37945,0,0,2,0,2,2,1,1,2
41283,0,0,1,0,1,0,2,2,1
47535,2,0,1,0,0,0,1,4,0
33389,3,0,0,0,0,1,0,1,2
11818,4,0,0,0,0,1,2,1,0
42258,1,0,0,0,0,0,0,2,1
131,5,0,1,0,0,2,1,2,3
12521,1,0,1,0,2,0,3,1,1
31837,2,0,2,0,1,1,3,0,3
17084,2,0,0,0,2,0,0,4,1
3349,3,0,0,0,1,1,3,0,0
24187,1,0,0,0,2,2,0,1,3
11561,3,0,2,0,2,3,1,1,4
26112,2,0,2,0,2,0,1,3,2
3781,4,0,0,0,0,1,0,1,2
19644,1,0,0,0,3,2,0,1,1
20365,0,0,1,0,3,1,0,3,3
42122,0,0,0,0,3,0,3,1,2
14877,5,0,0,0,0,2,0,1,4
41213,0,0,0,0,3,0,0,3,1
12197,4,0,0,0,1,2,1,3,3
1378,1,0,1,0,1,1,1,0,1
27178,1,0,0,0,0,1,0,1,2
8286,1,0,1,0,1,0,1,2,1
26929,3,0,0,0,2,3,2,1,1
43674,0,0,0,0,1,0,0,2,1
