purchase_date,checkout_instances,cat_electronics,cat_home,cat_clothing,cat_books,avg_revenue_per_unit,units_sold,revenue,credit_instances,crypto_instances,paypal_instances,cash_instances,total_returns,churned,retained
2021-12-18,188,31,37,61,59,248.67021276595744,511,520258,83,19,56,30,69.000000000000000000,44,144
2023-07-15,171,34,36,49,52,275.22222222222223,493,478580,74,22,51,24,67.000000000000000000,34,137
2020-08-24,152,30,33,41,48,264.375,414,448590,68,16,42,26,49.000000000000000000,31,121
2021-08-27,208,40,42,50,76,268.59615384615387,587,564830,87,22,49,50,95.000000000000000000,35,173
2023-06-22,184,42,32,54,56,255.17934782608697,539,521189,83,16,54,31,80.000000000000000000,32,152
2021-06-22,192,36,43,59,54,250.39583333333334,568,576146,88,21,44,39,72.000000000000000000,36,156
2021-01-27,189,32,44,55,58,244.53439153439155,562,533990,80,13,54,42,78.000000000000000000,33,156
2021-10-11,199,41,48,54,56,243.91959798994975,565,544143,89,20,52,38,94.000000000000000000,43,156
2022-07-31,174,39,35,46,54,275.7931034482759,532,458528,68,13,54,39,75.000000000000000000,31,143
2022-03-28,177,41,36,47,53,254.24858757062148,562,473520,67,20,60,30,75.000000000000000000,36,141
2021-11-13,190,40,36,66,48,246.2421052631579,592,513968,87,18,44,41,80.000000000000000000,31,159
2022-08-02,215,51,45,46,73,240.0093023255814,654,582443,82,21,76,36,89.000000000000000000,29,186
2023-05-22,199,37,36,62,64,257.0502512562814,581,537877,72,23,60,44,83.000000000000000000,41,158
2022-11-29,186,38,47,54,47,238.8494623655914,569,515533,65,22,49,50,72.000000000000000000,38,148
2020-01-21,161,39,32,49,41,247.416149068323,511,455827,64,22,54,21,79.000000000000000000,27,134
2021-10-02,169,35,36,57,41,268.1656804733728,464,457382,54,16,58,41,66.000000000000000000,53,116
2020-11-29,199,48,39,59,53,256.3819095477387,625,517742,81,20,56,42,82.000000000000000000,38,161
2023-09-14,178,44,34,54,46,259.25280898876406,538,474590,72,17,41,48,79.000000000000000000,38,140
2020-08-05,191,45,40,54,52,262.12041884816756,590,533621,60,31,60,40,78.000000000000000000,37,154
2022-12-25,195,50,35,63,47,260.87179487179486,579,527227,64,16,65,50,78.000000000000000000,42,153
2022-07-27,187,39,27,55,66,247.10695187165774,603,492334,83,25,41,38,60.000000000000000000,34,153
2020-07-24,202,37,35,60,70,245.48019801980197,601,556671,75,21,67,39,93.000000000000000000,45,157
2021-11-25,177,28,36,47,66,250.1581920903955,527,492332,72,22,49,34,81.000000000000000000,35,142
2023-06-18,160,34,28,49,49,246.6875,449,459959,60,16,48,36,70.000000000000000000,28,132
2022-05-19,184,48,25,60,51,268.8152173913044,521,521141,64,25,57,38,62.000000000000000000,45,139
2020-08-28,182,38,32,51,61,255.8956043956044,536,508187,61,20,54,47,74.000000000000000000,37,145
2020-08-29,183,26,52,48,57,267.73224043715845,534,486321,69,21,56,37,71.000000000000000000,42,141
2023-02-25,183,36,38,55,54,264.78688524590166,549,499085,71,12,50,50,88.000000000000000000,44,139
2020-04-30,152,36,37,39,40,238.22368421052633,465,389874,54,15,59,24,61.000000000000000000,32,120
2022-01-31,193,37,40,68,48,244.75129533678756,617,512466,74,18,64,37,79.000000000000000000,45,148
2020-10-04,188,44,41,56,47,248.86702127659575,572,514033,66,15,62,45,73.000000000000000000,38,150
2022-05-26,196,38,47,68,43,258.4795918367347,616,515980,78,16,56,46,86.000000000000000000,38,158
2022-06-18,173,35,31,52,55,246.65895953757226,510,473677,64,11,70,28,72.000000000000000000,42,131
2022-06-22,192,35,43,62,52,261.2135416666667,598,514030,82,21,56,33,80.000000000000000000,44,148
2021-04-29,208,43,50,42,73,256.0673076923077,622,548305,72,29,56,51,87.000000000000000000,48,160
2021-05-12,193,41,37,62,53,254.5440414507772,575,481415,79,13,63,38,92.000000000000000000,40,153
2022-01-29,194,41,38,63,52,246.06701030927834,568,556396,96,9,59,30,67.000000000000000000,46,148
2021-09-14,175,48,29,44,54,242.3942857142857,530,450553,57,16,61,41,76.000000000000000000,38,137
2021-07-30,172,51,26,42,53,246.9825581395349,510,491327,65,18,49,40,71.000000000000000000,40,132
2021-07-20,186,35,43,61,47,237.36559139784947,582,530508,75,22,49,40,78.000000000000000000,33,153
2023-06-23,191,45,36,44,66,243.90052356020942,613,525323,83,11,52,45,73.000000000000000000,36,155
2020-03-13,206,37,39,68,62,249.78155339805826,584,546449,91,11,58,46,88.000000000000000000,43,163
2020-12-18,182,38,36,54,54,254.66483516483515,569,491321,77,21,51,33,88.000000000000000000,40,142
2023-02-08,163,30,34,53,46,236.16564417177915,504,474795,55,21,56,31,57.000000000000000000,36,127
2021-07-17,183,32,33,64,54,251.68852459016392,556,472153,73,23,49,38,68.000000000000000000,35,148
2022-03-16,181,42,40,47,52,256.1436464088398,554,474648,73,17,48,43,80.000000000000000000,34,147
2020-09-24,166,41,37,40,48,252.54819277108433,482,472659,60,14,54,38,72.000000000000000000,36,130
